File Path,Nav Order
./Typesofresearchevidence/Isamovetoevidence-basedteachingpracticefeasibleatthistime/index.md,Isamovetoevidence-basedteachingpracticefeasibleatthistime
./Typesofresearchevidence/Isamovetoevidence-basedteachingpracticefeasibleatthistime/Researchingeneralorjustthescientificresearch/Whatistocountasevidenceinthemovetoevidence-basedpractice/index.md,Whatistocountasevidenceinthemovetoevidence-basedpractice
./Typesofresearchevidence/Isamovetoevidence-basedteachingpracticefeasibleatthistime/Arediscoveriestodatesufficienttojustifyamovetoevidence-basedpractice/index.md,Arediscoveriestodatesufficienttojustifyamovetoevidence-basedpractice
./Typesofresearchevidence/Isamovetoevidence-basedteachingpracticefeasibleatthistime/Arediscoveriestodatesufficienttojustifyamovetoevidence-basedpractice/Isthereacorpusofresearchwhichcouldbeusedtoguidedevelopmentsinteachingpractice/index.md,Isthereacorpusofresearchwhichcouldbeusedtoguidedevelopmentsinteachingpractice
./Typesofresearchevidence/Isamovetoevidence-basedteachingpracticefeasibleatthistime/Howmuchscientificevidenceisrequiredtojustifyachangetoevidence-basedteachpractice/index.md,Howmuchscientificevidenceisrequiredtojustifyachangetoevidence-basedteachpractice
./Typesofresearchevidence/Approachestoresearchintolearningandteaching/Typesofexplanation/Explanationsinaphysicalvocabularyandinanon-physicalvocabulary/index.md,Explanationsinaphysicalvocabularyandinanon-physicalvocabulary
./Typesofresearchevidence/Howaretheeffectsofteachingonlearningtobemeasured/Typesofquestionsandtheresearchmethodsrequiredtoanswerthem/Between-groupsexperimentsandwithin-subjectexperiments/index.md,Between-groupsexperimentsandwithin-subjectexperiments
./Typesofresearchevidence/Howaretheeffectsofteachingonlearningtobemeasured/Howaccuratearewithin-subjectandbetween-groupmeasuresofexperimentaleffects/index.md,Howaccuratearewithin-subjectandbetween-groupmeasuresofexperimentaleffects
./Typesofresearchevidence/Howaretheeffectsofteachingonlearningtobemeasured/Howaccuratearewithin-subjectandbetween-groupmeasuresofexperimentaleffects/Problemsinherentinthehypothetico-deductivemethodpractisedbysocialscientists/index.md,Problemsinherentinthehypothetico-deductivemethodpractisedbysocialscientists
./Theproblemtobesolved/Thetransitionfromcrafttoscience/Improvingthequalityofresearchintolearningandteaching/UpgradingthequalityofresearchfundedbytheMinistryofEducation/index.md,UpgradingthequalityofresearchfundedbytheMinistryofEducation
./Theproblemtobesolved/Themovefromcrafttoevidence-basedpractice/index.md,Themovefromcrafttoevidence-basedpractice
./Theproblemtobesolved/Themovefromcrafttoevidence-basedpractice/Whatistocountasevidence-basedpractice/index.md,Whatistocountasevidence-basedpractice
./Theproblemtobesolved/Themovefromcrafttoevidence-basedpractice/Callsforchange/Callsforamovetoevidence-basedpractice/index.md,Callsforamovetoevidence-basedpractice
./Theproblemtobesolved/Isamovefromcraft-toevidence-basedpracticepossible/index.md,Isamovefromcraft-toevidence-basedpracticepossible
./Importantlearningandteachingevents/Functionalsequencesoflearninginteractions/Presentationsequences/Sequencingofexamplesandnon-examples/index.md,Sequencingofexamplesandnon-examples
./Importantlearningandteachingevents/Functionalsequencesoflearninginteractions/Presentationsequences/Non-examplerange/index.md,Non-examplerange
./Importantlearningandteachingevents/Functionalsequencesoflearninginteractions/Response-consequencecontingencies/index.md,Response-consequencecontingencies
./Importantlearningandteachingevents/Functionalsequencesoflearninginteractions/Response-consequencecontingencies/Thetimingofconsequencesandthepost-responseinterval/index.md,Thetimingofconsequencesandthepost-responseinterval
./Importantlearningandteachingevents/Thelearningoutcomeshiddeninsidecurriculumgoals/Theskillsinvolvedinlearningtowrite/Learningcommonphoneme-graphemeequivalencerelations/index.md,Learningcommonphoneme-graphemeequivalencerelations
./Importantlearningandteachingevents/Thelearningoutcomeshiddeninsidecurriculumgoals/Theskillsinvolvedinlearningtoread/Learningcommongrapheme-phonemeequivalencerelations/index.md,Learningcommongrapheme-phonemeequivalencerelations
./Importantlearningandteachingevents/Learninginteractionsandtheircomponentevents/Thecomponentsofindividuallearninginteractions/Thedistinctionbetweentwo-termandthree-termlearninginteractions/index.md,Thedistinctionbetweentwo-termandthree-termlearninginteractions
./Importantlearningandteachingevents/Learninginteractionsandtheircomponentevents/Thecomponentsofindividuallearninginteractions/hedistinctionbetweenpresentationspracticestimuliandprompts/index.md,hedistinctionbetweenpresentationspracticestimuliandprompts
./Importantlearningandteachingevents/Learninginteractionsandtheircomponentevents/Prompts/Copyingandnon-copyingprompts/index.md,Copyingandnon-copyingprompts
./Importantlearningandteachingevents/Typesofcurriculumgoals/ThecontentoftheEnglishcurriculum/index.md,ThecontentoftheEnglishcurriculum
./Importantlearningandteachingevents/Typesofcurriculumgoals/Whatiscurriculum/FeaturesoftheNewZealandcurriculum/index.md,FeaturesoftheNewZealandcurriculum
./Importantlearningandteachingevents/Classroomandcontextvariables/Theamountofpracticeisprovided/hevariableswhichdeterminewhatcountsassufficientpractice/index.md,hevariableswhichdeterminewhatcountsassufficientpractice
./Theconditionsuponwhichlearningdepends/Respondentprocesses/Howfearsandanxietiesarelearnedandunlearned/Conditionsnecessaryfortheacquisitionofanewanxietyfearresponse/index.md,Conditionsnecessaryfortheacquisitionofanewanxietyfearresponse
./Theconditionsuponwhichlearningdepends/Respondentprocesses/Howfearsandanxietiesarelearnedandunlearned/Conditionswhichmayaffecttheextinctionofaconditionedfearanxietyresponse/index.md,Conditionswhichmayaffecttheextinctionofaconditionedfearanxietyresponse
./Theconditionsuponwhichlearningdepends/Respondentprocesses/Howfearsandanxietiesarelearnedandunlearned/Conditionsnecessaryfortheextinctionofconditionedanxietyfearresponses/index.md,Conditionsnecessaryfortheextinctionofconditionedanxietyfearresponses
./Theconditionsuponwhichlearningdepends/Respondentprocesses/Howfearsandanxietiesarelearnedandunlearned/Conditionswhichmayaffecttheacquisitionofnewfearanxietyresponses/index.md,Conditionswhichmayaffecttheacquisitionofnewfearanxietyresponses
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewequivalencerelationsareacquired/Necessarycondition1Promptingofthecorrectresponses/index.md,Necessarycondition1Promptingofthecorrectresponses
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewequivalencerelationsareacquired/Necessarycondition2Theopportunitytoengageindiscriminationpractice/index.md,Necessarycondition2Theopportunitytoengageindiscriminationpractice
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewequivalencerelationsareacquired/Necessarycondition4Sufficientpracticetoensureretention/index.md,Necessarycondition4Sufficientpracticetoensureretention
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewequivalencerelationsareacquired/Necessarycondition3Differentialreinforcementforcorrectresponses/index.md,Necessarycondition3Differentialreinforcementforcorrectresponses
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewknowledgeresponsesareacquired/Necessarycondition1Allessentialinformationinaformwhichcanbereferredtorepeatedly/index.md,Necessarycondition1Allessentialinformationinaformwhichcanbereferredtorepeatedly
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewknowledgeresponsesareacquired/Necessarycondition3Differentialreinforcementforcorrectresponses/index.md,Necessarycondition3Differentialreinforcementforcorrectresponses
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Hownewknowledgeresponsesareacquired/Necessarycondition2Sufficientinteractionswitheachpropositiontoensureretention/index.md,Necessarycondition2Sufficientinteractionswitheachpropositiontoensureretention
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Howconceptualresponsesareacquired/Necessarycondition5Sufficientpracticetoensureretention/index.md,Necessarycondition5Sufficientpracticetoensureretention
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Howconceptualresponsesareacquired/Necessarycondition4Differentialreinforcementforcorrectresponses/index.md,Necessarycondition4Differentialreinforcementforcorrectresponses
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Howconceptualresponsesareacquired/Necessarycondition2Exampleswhichillustratethefullextentofthegeneralisation/index.md,Necessarycondition2Exampleswhichillustratethefullextentofthegeneralisation
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Howconceptualresponsesareacquired/Necessarycondition3Discriminationpractice/index.md,Necessarycondition3Discriminationpractice
./Theconditionsuponwhichlearningdepends/Verballearningprocesses/Howconceptualresponsesareacquired/Necessarycondition1Promptingofcorrectresponses/index.md,Necessarycondition1Promptingofcorrectresponses
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Hownewproceduresareacquired/Necessarycondition3Differentialreinforcementofsatisfactoryperformances/index.md,Necessarycondition3Differentialreinforcementofsatisfactoryperformances
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Hownewproceduresareacquired/Necessarycondition4Sufficientpracticetoensuremastery/index.md,Necessarycondition4Sufficientpracticetoensuremastery
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Hownewproceduresareacquired/Necessaryconditions1Theopportunitytolearnthesequenceofsteps/index.md,Necessaryconditions1Theopportunitytolearnthesequenceofsteps
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Hownewproceduresareacquired/Necessaryconditions2Theopportunitytoengageinunpromptedpractice/index.md,Necessaryconditions2Theopportunitytoengageinunpromptedpractice
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Howcompletelynewbehavioursandskillsareacquired/Necessarycondition3Thedifferentialreinforcementofimprovementsinperformance/index.md,Necessarycondition3Thedifferentialreinforcementofimprovementsinperformance
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Howcompletelynewbehavioursandskillsareacquired/Necessarycondition2Theopportunitytopractise/index.md,Necessarycondition2Theopportunitytopractise
./Theconditionsuponwhichlearningdepends/Shapingprocesses/Howcompletelynewbehavioursandskillsareacquired/Necessarycondition1Theopportunitytoobservemodelsofcompetentperformance/index.md,Necessarycondition1Theopportunitytoobservemodelsofcompetentperformance
./Theconditionsuponwhichlearningdepends/Motivationalprocesses/Howmotivationandpersistencedevelop/Necessarycondition2Thematchinglawfornegativereinforcement/index.md,Necessarycondition2Thematchinglawfornegativereinforcement
./Theconditionsuponwhichlearningdepends/Motivationalprocesses/Howmotivationandpersistencedevelop/Necessarycondition1Thematchinglawforpositivereinforcement/index.md,Necessarycondition1Thematchinglawforpositivereinforcement
./Theconditionsuponwhichlearningdepends/Fluencybuildingprocesses/Howfluencyisacquired/Necessarycondition1Practiceactivitiesinwhichincreasesinspeedarepossible/index.md,Necessarycondition1Practiceactivitiesinwhichincreasesinspeedarepossible
./Theconditionsuponwhichlearningdepends/Fluencybuildingprocesses/Howfluencyisacquired/Necessarycondition3Sufficienttimedpracticetoachievethefluencygoal/index.md,Necessarycondition3Sufficienttimedpracticetoachievethefluencygoal
./Theconditionsuponwhichlearningdepends/Fluencybuildingprocesses/Howfluencyisacquired/Necessarycondition2Regularassessmentofaccuracyrateandreinforcementforincreasesinaccuracyrate/index.md,Necessarycondition2Regularassessmentofaccuracyrateandreinforcementforincreasesinaccuracyrate
./Theeffectsofinstructionalevents/Theeffectsofcontingencyvariables/Schedulesofreinforcementandpunishment/Effectofconcurrentschedulesofreinforcementandpunishment/index.md,Effectofconcurrentschedulesofreinforcementandpunishment
./Theeffectsofinstructionalevents/Theeffectsofcontingencyvariables/Positivereinforcementcontingenciesandtheireffects/PremacksRule/index.md,PremacksRule
./Theeffectsofinstructionalevents/Theeffectsofcontingencyvariables/Effectsofremovingapre-existingcontingency/index.md,Effectsofremovingapre-existingcontingency
./Theeffectsofinstructionalevents/Presentationpromptingandpracticevariables/Promptingvariablesandtheireffects/Effectsofcopyingandnon-copyingprompts/index.md,Effectsofcopyingandnon-copyingprompts
